NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,8.8740452,7.1412342,10.2709768,25.038185
16x16,9.3975004,9.7840732,10.6866634,21.7559504
17x17,8.7192362,14.2399836,12.3526574,29.1727756
18x18,8.0656184,11.2269976,12.6542988,38.0949802
19x19,13.2344306,13.7820488,12.828319,41.3768442
20x20,10.5619446,15.571185,20.8957828,44.0786904
21x21,19.1313938,20.2965676,29.524876,39.3757532
22x22,15.9217674,18.2943644,27.8108214,41.4653768
23x23,21.2405746,20.048161,27.018423,42.433063
24x24,15.3340362,16.858348,30.6887158,41.689901
25x25,16.040245,17.0158542,28.2261386,44.0043978
