NxN Size,C:f B:f D:t R:f Rand Cryst,C:f B:f D:t R:t Rand Cryst,C:f B:t D:f R:f Rand Cryst,C:f B:t D:f R:t Rand Cryst,C:f B:t D:t R:f Rand Cryst,C:f B:t D:t R:t Rand Cryst,C:t B:f D:t R:f Rand Cryst,C:t B:f D:t R:t Rand Cryst,C:f B:f D:t R:f Clus Cryst,C:f B:f D:t R:t Clus Cryst,C:f B:t D:f R:f Clus Cryst,C:f B:t D:f R:t Clus Cryst,C:f B:t D:t R:f Clus Cryst,C:f B:t D:t R:t Clus Cryst,C:t B:f D:t R:f Clus Cryst,C:t B:f D:t R:t Clus Cryst,C:f B:f D:t R:f Spac Cryst,C:f B:f D:t R:t Spac Cryst,C:f B:t D:f R:f Spac Cryst,C:f B:t D:f R:t Spac Cryst,C:f B:t D:t R:f Spac Cryst,C:f B:t D:t R:t Spac Cryst,C:t B:f D:t R:f Spac Cryst,C:t B:f D:t R:t Spac Cryst
15x15,3.3306758,2.250866641,4.980265941,6.937744342,1.046134559,3.52825953,1.252757276,2.4999988,6.391979154,1.446781868,7.356569431,9.091898642,19.96098025,3.107429115,3.890573252,5.544781469,0.913638165,3.708659591,0.074833575,7.053965535,19.11151293,4.171415533,0.467617301,2.731035662
16x16,5.897523341,1.702364466,5.872862894,5.734163147,0,3.966575002,3.429798327,1.2199988,5.073826084,3.674128869,11.16880414,5.132571363,3.031476307,5.66434719,1.747582725,4.476675818,1.154103532,4.061508055,0.254602114,6.293897075,2.832098064,5.989926636,2.065177216,3.622394254
17x17,4.440299902,7.94725336,6.98147097,6.260493787,16.75208543,3.846335322,4.918167987,0,4.857736124,8.01372864,7.391018813,14.51549837,3.514392468,0.933035836,6.753422431,7.406727621,0.641577059,4.054442821,0.449691099,0,0.07986182,3.393605797,1.184877188,3.92977832
18x18,7.222385893,15.19257106,2.418985284,6.008322329,3.189259957,3.611085072,15.0492035,0,12.31044174,7.610293324,7.530563411,0,3.782528191,7.712127332,2.788296732,4.116182974,1.24585484,5.543268698,0.323109822,0,2.008276624,9.851110691,5.178775143,6.844162182
19x19,5.305437224,9.566461391,10.3799996,2.813332,3.272494247,3.900903418,4.144716327,0,12.30772016,9.034240248,11.36348298,0,5.450457651,3.027955318,11.78068608,6.764487443,1.275775243,6.149791293,0.079302369,0,0.083400043,6.990140793,1.03141772,4.998949295
20x20,11.3649448,8.36113706,7.849058125,0,5.399294422,6.551197229,11.21010292,7.9199988,2.211977881,1.473672868,4.253332,0,3.658818768,15.80572795,7.56378832,4.012001346,8.424967282,3.649940888,0,0,1.384140632,15.09839656,2.547765949,3.807793326
21x21,7.279993469,8.462413903,9.463951138,0,4.159359249,2.482986846,5.720599959,8.338096235,6.937018227,13.19463473,0,0,3.047414452,0,5.107265505,7.485308272,2.220845333,8.180410487,0,0,0.283039024,0,0.621056816,8.564788827
22x22,14.14641974,5.656946621,10.1333328,0,4.788489155,5.7466656,13.09659394,11.51234353,5.920037628,7.437126609,0,0,3.599947554,0,5.13275319,9.874645999,4.614056812,6.634971437,0,0,0.693413358,0,0.825118776,8.957687122
23x23,12.64992929,8.495804973,8.237743828,0,5.058693605,0,9.12462519,10.5677518,6.047463909,14.00933554,0,0,5.707133852,0,3.706070446,4.391375898,1.381729937,9.801934034,0,0,0.201659515,0,1.249827373,7.910762682
24x24,7.021977878,7.591062316,3.6199988,0,7.902749797,0,5.717270542,8.025304,12.07257035,3.999745061,0,6.295582778,4.278426425,0,7.830633707,6.193629051,2.14971819,11.67137755,0,0,0.062003373,0,0.526686708,14.42072267
25x25,5.728887808,5.870165644,3.0266656,4.3666656,6.161037274,0,14.05414614,5.183568069,15.0752167,8.806151239,0,1.2266656,8.07153954,0,14.91860632,8.945046238,3.824460038,6.904808671,0,0,0.176823882,0,1.931367005,9.30414868
